Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1905,10845,221130,     20.39,131225,12.1,89905,701000,     64.64,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,176020,     20.42,88355,10.25,87665,458000,     53.13
MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1931,9415,129080,     13.71,61951,6.58,67129,478000,     50.77,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,131369,     15.24,68874,7.99,62495,458000,     53.13
MORRISANIA/LONGWOOD,C6  -WALK-UP,       46,1928,46210,645092,     13.96,400179,8.66,244913,1755000,     37.98,2-02608-0032,3414 3 AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       14,1910,10850,122714,     11.31,78554,7.24,44160,294000,     27.10
MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1920,12651,192801,     15.24,101081,7.99,91720,673000,     53.20,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,131369,     15.24,68874,7.99,62495,458000,     53.13
MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1912,17220,245729,     14.27,150675,8.75,95054,685000,     39.78,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,529390,     12.68,327320,7.84,202070,1405000,     33.65
MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,6948,125620,     18.08,62810,9.04,62810,479000,     68.94,2-02397-0050,363 EAST 150 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       15,1991,6376,115278,     18.08,56491,8.86,58787,449000,     70.42
MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,7560,136685,     18.08,69023,9.13,67662,516000,     68.25,2-02397-0050,363 EAST 150 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       15,1991,6376,115278,     18.08,56491,8.86,58787,449000,     70.42
MELROSE/CONCOURSE,C6  -WALK-UP,       11,1931,10675,139202,     13.04,84973,7.96,54229,380000,     35.60,2-02398-0009,356 EAST 152 STREET,MELROSE/CONCOURSE,C7  -WALK-UP,       14,1920,12850,156513,     12.18,100230,7.8,56283,385000,     29.96
MELROSE/CONCOURSE,C6  -WALK-UP,       37,1920,33055,494503,     14.96,294851,8.92,199652,1458000,     44.11,2-02402-0024,397 EAST 155 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       12,1931,7012,100131,     14.28,54904,7.83,45227,317000,     45.21
MELROSE/CONCOURSE,C6  -WALK-UP,       12,1913,11500,192165,     16.71,86480,7.52,105685,793000,     68.96,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,7420,122801,     16.55,71603,9.65,51198,562000,     75.74
MELROSE/CONCOURSE,D4  -ELEVATOR,      937,1964,876500,14567430,     16.62,8694880,9.92,5872550,44002000,     50.20,2-02338-0003,2862 PARK AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,      520,1974,547382,11412915,     20.85,6163521,11.26," 5,249,393",41434000,     75.69
MELROSE/CONCOURSE,D4  -ELEVATOR,      936,1963,862500,14248500,     16.52,7693500,8.92,6555000,49056000,     56.88,2-02441-0001,2950 PARK AVENUE,MELROSE/CONCOURSE,D3  -ELEVATOR,      216,1983,257718,4257501,     16.52,2056590,7.98," 2,200,912",16663000,     64.66
MELROSE/CONCOURSE,D4  -ELEVATOR,       67,1958,80009,1270543,     15.88,788089,9.85,482454,3580000,     44.74,2-02454-0011,910 SHERIDAN AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,       76,1948,84826,1402174,     16.53,799061,9.42,603113,4515000,     53.23
MELROSE/CONCOURSE,C6  -WALK-UP,       70,1926,57080,706650,     12.38,395564,6.93,311086,2143000,     37.54,2-02913-0042,1575 BATHGATE AVENUE,BATHGATE,C7  -WALK-UP,       11,1931,10765,125089,     11.62,62545,5.81,62545,421000,     39.11
MELROSE/CONCOURSE,D4  -ELEVATOR,       81,2008,93570,1416650,     15.14,804702,8.6,611948,4481000,     47.89,2-02453-0061,232 EAST 169 STREET,MELROSE/CONCOURSE,D7  -ELEVATOR,       35,2012,34754,530346,     15.26,222773,6.41,307573,2258000,     64.97
