Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value,Market Value SQFT
0,0,21,1910,20750,387195,18.66,170773,8.23,216423,2.267308064,1631000,78.6
0,0,17,1914,19250,340725,17.7,144568,7.51,196158,2.356849372,1480000,76.88
1,0,34,1948,43000,759810,17.67,350880,8.16,408930,2.165441176,3084000,71.72
0,0,24,1992,23760,465934,19.61,254232,10.7,211702,1.832711854,1629000,68.56
0,0,35,1916,30000,468300,15.61,190500,6.35,277800,2.458267717,2038000,67.93
0,0,16,1993,15840,274982,17.36,132106,8.34,142877,2.081525442,1073000,67.74
0,0,38,1924,28100,428806,15.26,168319,5.99,260487,2.547579299,1898000,67.54
1,0,17,1927,28536,430323,15.08,166936,5.85,263387,2.57777232,1914000,67.07
0,0,21,1964,17013,324268,19.06,175064,10.29,149204,1.852282594,1141000,67.07
0,0,12,1913,11500,173650,15.1,68425,5.95,105225,2.537815126,765000,66.52
0,0,49,1925,46800,820404,17.53,424476,9.07,395928,1.932745314,2982000,63.72
0,0,13,1931,10055,147607,14.68,60632,6.03,86976,2.434473545,627000,62.36
0,0,12,1918,6948,115962,16.69,58850,8.47,57113,1.97046729,425000,61.17
0,0,23,1963,16506,254853,15.44,118513,7.18,136340,2.150422317,998000,60.46
0,0,37,1928,33984,592341,17.43,320809,9.44,271532,1.846397701,2040000,60.03
0,0,16,1925,10032,173353,17.28,93197,9.29,80156,1.860070603,602000,60.01
0,0,12,1918,7560,125798,16.64,65092,8.61,60707,1.932618448,452000,59.79
0,0,48,1941,30552,507163,16.6,263053,8.61,244110,1.927987896,1818000,59.51
0,0,37,1953,27225,481883,17.7,267894,9.84,213989,1.798782354,1614000,59.28
0,0,31,1925,34875,466279,13.37,174724,5.01,291555,2.668660287,2047000,58.7
0,0,42,1907,25926,444890,17.16,243704,9.4,201186,1.825534255,1508000,58.17
0,0,18,1992,17820,309712,17.38,171785,9.64,137927,1.802904794,1036000,58.14
0,0,18,1931,10220,184982,18.1,107719,10.54,77263,1.717264364,585000,57.24
0,0,65,1926,56000,921760,16.46,490560,8.76,431200,1.878995434,3202000,57.18
0,0,24,1916,20955,352882,16.84,195510,9.33,157372,1.804930694,1174000,56.02
0,0,30,1947,31150,460397,14.78,222411,7.14,237986,2.070028011,1720000,55.22
0,0,20,1916,15000,250350,16.69,140850,9.39,109500,1.77742279,815000,54.33
0,0,32,1926,26347,417073,15.83,228955,8.69,188118,1.82163744,1383000,52.49
0,0,17,1912,11748,184561,15.71,100680,8.57,83881,1.833144617,616000,52.43
0,0,51,1923,40000,636000,15.9,355200,8.88,280800,1.790540541,2066000,51.65
0,0,20,1913,16120,279521,17.34,168615,10.46,110906,1.657746938,832000,51.61
0,0,52,1923,40000,636000,15.9,355600,8.89,280400,1.788526434,2063000,51.58
0,0,11,1905,10845,188161,17.35,113764,10.49,74397,1.653959073,559000,51.54
0,0,42,1958,32400,545616,16.84,322704,9.96,222912,1.690763052,1663000,51.33
0,0,25,1926,19715,291979,14.81,152791,7.75,139188,1.910969887,1006000,51.03
0,0,21,1910,17000,249220,14.66,130730,7.69,118490,1.906371912,855000,50.29
0,0,23,1931,20580,295735,14.37,153321,7.45,142414,1.928861669,1022000,49.66
0,0,74,1927,48944,748843,15.3,419450,8.57,329393,1.785297413,2405000,49.14
0,0,20,1920,23770,381271,16.04,223676,9.41,157595,1.704568215,1162000,48.89
0,0,45,1931,54126,824880,15.24,463319,8.56,361562,1.780371623,2635000,48.68
0,0,27,1926,17000,268090,15.77,156060,9.18,112030,1.717864924,824000,48.47
0,0,30,1914,23250,358748,15.43,205298,8.83,153450,1.747450048,1121000,48.22
0,0,73,1931,64727,990323,15.3,564419,8.72,425904,1.754588347,3108000,48.02
0,0,11,1931,9415,153182,16.27,92173,9.79,61009,1.661896651,452000,48.01
0,0,15,1910,10560,142349,13.48,70858,6.71,71491,2.00893336,503000,47.63
0,0,18,1989,14000,203420,14.53,110880,7.92,92540,1.83459596,666000,47.57
0,0,30,1913,22202,307276,13.84,158522,7.14,148753,1.938380793,1055000,47.52
0,0,16,1908,15175,220189,14.51,120945,7.97,99245,1.820571334,714000,47.05
0,0,107,1931,90600,1272024,14.04,674064,7.44,597960,1.887096774,4259000,47.01
0,0,27,1926,19395,282391,14.56,156130,8.05,126261,1.808691475,910000,46.92
0,0,15,1905,10776,163795,15.2,94613,8.78,69182,1.731210299,504000,46.77
0,0,57,1925,44440,635492,14.3,347521,7.82,287971,1.828643449,2063000,46.42
0,0,25,1916,18225,264263,14.5,148898,8.17,115364,1.77479214,828000,45.43
0,0,19,1910,14880,228110,15.33,135706,9.12,92405,1.68091315,675000,45.36
0,0,26,1907,23740,314318,13.24,160957,6.78,153360,1.952807272,1072000,45.16
0,0,35,1915,33663,479361,14.24,266948,7.93,212414,1.795709277,1520000,45.15
0,0,16,1908,18000,285120,15.84,175500,9.75,109620,1.624615385,807000,44.83
0,0,68,1928,56400,698232,12.38,331632,5.88,366600,2.105442177,2511000,44.52
0,0,44,1924,51000,752250,14.75,438090,8.59,314160,1.717112922,2268000,44.47
0,0,24,1910,23550,304266,12.92,153782,6.53,150485,1.978554057,1045000,44.37
0,0,19,1906,16875,217519,12.89,109856,6.51,107663,1.980037504,747000,44.27
0,0,15,1906,20655,297639,14.41,170610,8.26,127028,1.744557763,911000,44.11
0,0,26,1931,21150,318519,15.06,190773,9.02,127746,1.66962306,927000,43.83
0,0,49,1925,31335,452164,14.43,263214,8.4,188950,1.717856953,1354000,43.21
0,0,38,1907,29664,441697,14.89,265789,8.96,175908,1.661833259,1272000,42.88
1,0,70,1926,117929,1617986,13.72,909233,7.71,708753,1.779506463,5013000,42.51
0,0,16,1931,18300,257115,14.05,148779,8.13,108336,1.728167282,772000,42.19
0,0,16,1904,14300,200486,14.02,116259,8.13,84227,1.724477245,600000,41.96
0,0,20,1912,18500,241610,13.06,130240,7.04,111370,1.855113636,776000,41.95
0,0,21,1917,18710,282147,15.08,174564,9.33,107583,1.616295456,781000,41.74
0,0,15,1906,19001,260124,13.69,148968,7.84,111156,1.746173675,786000,41.37
0,0,31,1926,27150,407522,15.01,253310,9.33,154212,1.608787651,1120000,41.25
0,0,21,1916,16950,254420,15.01,158144,9.33,96276,1.608786928,699000,41.24
0,0,29,1914,27495,371457,13.51,210612,7.66,160846,1.763702923,1133000,41.21
0,0,15,1906,19001,260124,13.69,149348,7.86,110776,1.741730723,783000,41.21
0,0,36,1926,30800,404404,13.13,223916,7.27,180488,1.80605227,1260000,40.91
0,0,37,1920,33055,485578,14.69,298817,9.04,186761,1.625001255,1347000,40.75
0,0,19,1928,19292,275297,14.27,166104,8.61,109193,1.657377306,783000,40.59
0,0,20,1911,18450,258669,14.02,153689,8.33,104981,1.683067754,748000,40.54
0,0,16,1993,15840,205603,12.98,113256,7.15,92347,1.815382849,642000,40.53
0,0,21,1926,24900,307764,12.36,161601,6.49,146163,1.904468413,1000000,40.16
0,0,22,1922,20057,285211,14.22,173092,8.63,112119,1.647742241,802000,39.99
0,0,25,1927,24100,269438,11.18,123874,5.14,145564,2.175097276,960000,39.83
0,0,38,1920,25980,381386,14.68,237977,9.16,143410,1.60261706,1034000,39.8
