Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Expense Ratio,Market Value SQFT,Market Value,
0,0,21,1910,"20,750","387,195",18.66,"170,773",8.23,"216,423",1.2673,78.6,"1,631,000",
0,0,17,1914,"19,250","340,725",17.7,"144,568",7.51,"196,158",1.3569,76.88,"1,480,000",
1,0,34,1948,"43,000","759,810",17.67,"350,880",8.16,"408,930",1.1654,71.72,"3,084,000",
0,0,24,1992,"23,760","465,934",19.61,"254,232",10.7,"211,702",0.8327,68.56,"1,629,000",
0,0,35,1916,"30,000","468,300",15.61,"190,500",6.35,"277,800",1.4583,67.93,"2,038,000",
0,0,16,1993,"15,840","274,982",17.36,"132,106",8.34,"142,877",1.0815,67.74,"1,073,000",
0,0,38,1924,"28,100","428,806",15.26,"168,319",5.99,"260,487",1.5476,67.54,"1,898,000",
1,0,17,1927,"28,536","430,323",15.08,"166,936",5.85,"263,387",1.5778,67.07,"1,914,000",
0,0,21,1964,"17,013","324,268",19.06,"175,064",10.29,"149,204",0.8523,67.07,"1,141,000",
0,0,12,1913,"11,500","173,650",15.1,"68,425",5.95,"105,225",1.5378,66.52,"765,000",
0,0,49,1925,"46,800","820,404",17.53,"424,476",9.07,"395,928",0.9327,63.72,"2,982,000",
0,0,13,1931,"10,055","147,607",14.68,"60,632",6.03,"86,976",1.4345,62.36,"627,000",
0,0,12,1918,"6,948","115,962",16.69,"58,850",8.47,"57,113",0.9705,61.17,"425,000",
0,0,23,1963,"16,506","254,853",15.44,"118,513",7.18,"136,340",1.1504,60.46,"998,000",
0,0,37,1928,"33,984","592,341",17.43,"320,809",9.44,"271,532",0.8464,60.03,"2,040,000",
0,0,16,1925,"10,032","173,353",17.28,"93,197",9.29,"80,156",0.8601,60.01,"602,000",
0,0,12,1918,"7,560","125,798",16.64,"65,092",8.61,"60,707",0.9326,59.79,"452,000",
0,0,48,1941,"30,552","507,163",16.6,"263,053",8.61,"244,110",0.928,59.51,"1,818,000",
0,0,37,1953,"27,225","481,883",17.7,"267,894",9.84,"213,989",0.7988,59.28,"1,614,000",
0,0,31,1925,"34,875","466,279",13.37,"174,724",5.01,"291,555",1.6687,58.7,"2,047,000",
0,0,42,1907,"25,926","444,890",17.16,"243,704",9.4,"201,186",0.8255,58.17,"1,508,000",
0,0,18,1992,"17,820","309,712",17.38,"171,785",9.64,"137,927",0.8029,58.14,"1,036,000",
0,0,18,1931,"10,220","184,982",18.1,"107,719",10.54,"77,263",0.7173,57.24,"585,000",
0,0,65,1926,"56,000","921,760",16.46,"490,560",8.76,"431,200",0.879,57.18,"3,202,000",
0,0,24,1916,"20,955","352,882",16.84,"195,510",9.33,"157,372",0.8049,56.02,"1,174,000",
0,0,30,1947,"31,150","460,397",14.78,"222,411",7.14,"237,986",1.07,55.22,"1,720,000",
0,0,20,1916,"15,000","250,350",16.69,"140,850",9.39,"109,500",0.7774,54.33,"815,000",
0,0,32,1926,"26,347","417,073",15.83,"228,955",8.69,"188,118",0.8216,52.49,"1,383,000",
0,0,17,1912,"11,748","184,561",15.71,"100,680",8.57,"83,881",0.8331,52.43,"616,000",
0,0,51,1923,"40,000","636,000",15.9,"355,200",8.88,"280,800",0.7905,51.65,"2,066,000",
0,0,20,1913,"16,120","279,521",17.34,"168,615",10.46,"110,906",0.6577,51.61,"832,000",
0,0,52,1923,"40,000","636,000",15.9,"355,600",8.89,"280,400",0.7885,51.58,"2,063,000",
0,0,11,1905,"10,845","188,161",17.35,"113,764",10.49,"74,397",0.654,51.54,"559,000",
0,0,42,1958,"32,400","545,616",16.84,"322,704",9.96,"222,912",0.6908,51.33,"1,663,000",
0,0,25,1926,"19,715","291,979",14.81,"152,791",7.75,"139,188",0.911,51.03,"1,006,000",
0,0,21,1910,"17,000","249,220",14.66,"130,730",7.69,"118,490",0.9064,50.29,"855,000",
0,0,23,1931,"20,580","295,735",14.37,"153,321",7.45,"142,414",0.9289,49.66,"1,022,000",
0,0,74,1927,"48,944","748,843",15.3,"419,450",8.57,"329,393",0.7853,49.14,"2,405,000",
0,0,20,1920,"23,770","381,271",16.04,"223,676",9.41,"157,595",0.7046,48.89,"1,162,000",
0,0,45,1931,"54,126","824,880",15.24,"463,319",8.56,"361,562",0.7804,48.68,"2,635,000",
0,0,27,1926,"17,000","268,090",15.77,"156,060",9.18,"112,030",0.7179,48.47,"824,000",
0,0,30,1914,"23,250","358,748",15.43,"205,298",8.83,"153,450",0.7475,48.22,"1,121,000",
0,0,73,1931,"64,727","990,323",15.3,"564,419",8.72,"425,904",0.7546,48.02,"3,108,000",
0,0,11,1931,"9,415","153,182",16.27,"92,173",9.79,"61,009",0.6619,48.01,"452,000",
0,0,15,1910,"10,560","142,349",13.48,"70,858",6.71,"71,491",1.0089,47.63,"503,000",
0,0,18,1989,"14,000","203,420",14.53,"110,880",7.92,"92,540",0.8346,47.57,"666,000",
0,0,30,1913,"22,202","307,276",13.84,"158,522",7.14,"148,753",0.9384,47.52,"1,055,000",
0,0,16,1908,"15,175","220,189",14.51,"120,945",7.97,"99,245",0.8206,47.05,"714,000",
0,0,107,1931,"90,600","1,272,024",14.04,"674,064",7.44,"597,960",0.8871,47.01,"4,259,000",
0,0,27,1926,"19,395","282,391",14.56,"156,130",8.05,"126,261",0.8087,46.92,"910,000",
0,0,15,1905,"10,776","163,795",15.2,"94,613",8.78,"69,182",0.7312,46.77,"504,000",
0,0,57,1925,"44,440","635,492",14.3,"347,521",7.82,"287,971",0.8286,46.42,"2,063,000",
0,0,25,1916,"18,225","264,263",14.5,"148,898",8.17,"115,364",0.7748,45.43,"828,000",
0,0,19,1910,"14,880","228,110",15.33,"135,706",9.12,"92,405",0.6809,45.36,"675,000",
0,0,26,1907,"23,740","314,318",13.24,"160,957",6.78,"153,360",0.9528,45.16,"1,072,000",
0,0,35,1915,"33,663","479,361",14.24,"266,948",7.93,"212,414",0.7957,45.15,"1,520,000",
0,0,16,1908,"18,000","285,120",15.84,"175,500",9.75,"109,620",0.6246,44.83,"807,000",
0,0,68,1928,"56,400","698,232",12.38,"331,632",5.88,"366,600",1.1054,44.52,"2,511,000",
0,0,44,1924,"51,000","752,250",14.75,"438,090",8.59,"314,160",0.7171,44.47,"2,268,000",
0,0,24,1910,"23,550","304,266",12.92,"153,782",6.53,"150,485",0.9786,44.37,"1,045,000",
0,0,19,1906,"16,875","217,519",12.89,"109,856",6.51,"107,663",0.98,44.27,"747,000",
0,0,15,1906,"20,655","297,639",14.41,"170,610",8.26,"127,028",0.7446,44.11,"911,000",
0,0,26,1931,"21,150","318,519",15.06,"190,773",9.02,"127,746",0.6696,43.83,"927,000",
0,0,49,1925,"31,335","452,164",14.43,"263,214",8.4,"188,950",0.7179,43.21,"1,354,000",
0,0,38,1907,"29,664","441,697",14.89,"265,789",8.96,"175,908",0.6618,42.88,"1,272,000",
1,0,70,1926,"117,929","1,617,986",13.72,"909,233",7.71,"708,753",0.7795,42.51,"5,013,000",
0,0,16,1931,"18,300","257,115",14.05,"148,779",8.13,"108,336",0.7282,42.19,"772,000",
0,0,16,1904,"14,300","200,486",14.02,"116,259",8.13,"84,227",0.7245,41.96,"600,000",
0,0,20,1912,"18,500","241,610",13.06,"130,240",7.04,"111,370",0.8551,41.95,"776,000",
0,0,21,1917,"18,710","282,147",15.08,"174,564",9.33,"107,583",0.6163,41.74,"781,000",
0,0,15,1906,"19,001","260,124",13.69,"148,968",7.84,"111,156",0.7462,41.37,"786,000",
0,0,31,1926,"27,150","407,522",15.01,"253,310",9.33,"154,212",0.6088,41.25,"1,120,000",
0,0,21,1916,"16,950","254,420",15.01,"158,144",9.33,"96,276",0.6088,41.24,"699,000",
0,0,29,1914,"27,495","371,457",13.51,"210,612",7.66,"160,846",0.7637,41.21,"1,133,000",
0,0,15,1906,"19,001","260,124",13.69,"149,348",7.86,"110,776",0.7417,41.21,"783,000",
0,0,36,1926,"30,800","404,404",13.13,"223,916",7.27,"180,488",0.8061,40.91,"1,260,000",
0,0,37,1920,"33,055","485,578",14.69,"298,817",9.04,"186,761",0.625,40.75,"1,347,000",
0,0,19,1928,"19,292","275,297",14.27,"166,104",8.61,"109,193",0.6574,40.59,"783,000",
0,0,20,1911,"18,450","258,669",14.02,"153,689",8.33,"104,981",0.6831,40.54,"748,000",
0,0,16,1993,"15,840","205,603",12.98,"113,256",7.15,"92,347",0.8154,40.53,"642,000",
0,0,21,1926,"24,900","307,764",12.36,"161,601",6.49,"146,163",0.9045,40.16,"1,000,000",
0,0,22,1922,"20,057","285,211",14.22,"173,092",8.63,"112,119",0.6477,39.99,"802,000",
0,0,25,1927,"24,100","269,438",11.18,"123,874",5.14,"145,564",1.1751,39.83,"960,000",
0,0,38,1920,"25,980","381,386",14.68,"237,977",9.16,"143,410",0.6026,39.8,"1,034,000",
0,0,43,1924,"36,000","527,400",14.65,"329,400",9.15,"198,000",0.6011,39.67,"1,428,000",
0,0,24,1927,"26,000","356,460",13.71,"211,120",8.12,"145,340",0.6884,39.54,"1,028,000",
0,0,20,1925,"16,950","240,860",14.21,"147,804",8.72,"93,056",0.6296,39.23,"665,000",
0,0,55,1928,"76,320","1,041,768",13.65,"618,955",8.11,"422,813",0.6831,39.19,"2,991,000",
0,0,16,1904,"14,300","192,907",13.49,"113,542",7.94,"79,365",0.699,39.09,"559,000",
0,0,22,1922,"23,802","326,801",13.73,"196,605",8.26,"130,197",0.6622,38.69,"921,000",
0,0,26,1916,"24,000","345,120",14.38,"216,240",9.01,"128,880",0.596,38.5,"924,000",
0,0,25,1930,"22,735","306,923",13.5,"182,789",8.04,"124,133",0.6791,38.49,"875,000",
0,0,20,1909,"21,500","255,205",11.87,"133,085",6.19,"122,120",0.9176,38.28,"823,000",
0,0,16,1927,"12,200","165,798",13.59,"100,040",8.2,"65,758",0.6573,38.03,"464,000",
0,0,15,1910,"13,475","180,296",13.38,"108,878",8.08,"71,418",0.6559,37.25,"502,000",
0,0,17,1927,"13,446","189,051",14.06,"118,997",8.85,"70,054",0.5887,37.11,"499,000",
0,0,36,1922,"41,107","545,079",13.26,"327,623",7.97,"217,456",0.6637,37.1,"1,525,000",
0,0,37,1925,"29,600","385,984",13.04,"228,216",7.71,"157,768",0.6913,37.09,"1,098,000",
0,0,48,1927,"38,720","465,802",12.03,"257,488",6.65,"208,314",0.809,36.44,"1,411,000",
0,0,11,1904,"14,175","161,170",11.37,"83,491",5.89,"77,679",0.9304,36.4,"516,000",
0,0,40,1925,"39,432","465,298",11.8,"252,365",6.4,"212,933",0.8438,36.39,"1,435,000",
0,0,70,1926,"57,080","730,053",12.79,"430,383",7.54,"299,670",0.6963,36.37,"2,076,000",
0,0,26,1915,"22,500","299,250",13.3,"183,825",8.17,"115,425",0.6279,36,"810,000",
0,0,44,1931,"35,715","476,081",13.33,"292,863",8.2,"183,218",0.6256,35.98,"1,285,000",
0,0,25,1914,"21,295","291,529",13.69,"183,776",8.63,"107,753",0.5863,35.78,"762,000",
0,0,14,1907,"13,425","183,788",13.69,"116,261",8.66,"67,528",0.5808,35.53,"477,000",
0,0,17,1927,"16,600","226,922",13.67,"143,590",8.65,"83,332",0.5803,35.48,"589,000",
0,0,61,1925,"55,750","649,488",11.65,"357,915",6.42,"291,573",0.8146,35.09,"1,956,000",
0,0,81,1925,"61,878","725,829",11.73,"402,826",6.51,"323,003",0.8018,35.07,"2,170,000",
0,0,31,1925,"34,875","418,151",11.99,"237,499",6.81,"180,653",0.7606,35.07,"1,223,000",
0,0,26,1922,"19,250","242,165",12.58,"144,568",7.51,"97,598",0.6751,34.91,"672,000",
0,0,44,1928,"35,700","479,808",13.44,"304,878",8.54,"174,930",0.5738,34.51,"1,232,000",
0,0,25,1905,"24,930","308,384",12.37,"183,485",7.36,"124,899",0.6807,34.26,"854,000",
0,0,25,1912,"17,220","228,337",13.26,"143,959",8.36,"84,378",0.5861,34.26,"590,000",
0,0,28,1931,"27,550","303,050",11,"159,515",5.79,"143,536",0.8998,34.19,"942,000",
0,0,15,1925,"14,850","181,319",12.21,"107,217",7.22,"74,102",0.6911,34.01,"505,000",
0,0,25,1917,"24,750","290,813",11.75,"165,825",6.7,"124,988",0.7537,33.98,"841,000",
0,0,26,1925,"21,917","284,702",12.99,"178,404",8.14,"106,297",0.5958,33.81,"741,000",
0,0,20,1913,"17,550","213,408",12.16,"126,360",7.2,"87,048",0.6889,33.73,"592,000",
0,0,24,1914,"21,025","261,341",12.43,"157,898",7.51,"103,443",0.6551,33.67,"708,000",
0,0,21,1926,"18,750","211,875",11.3,"117,563",6.27,"94,313",0.8022,33.33,"625,000",
0,0,25,1917,"24,750","296,010",11.96,"175,230",7.08,"120,780",0.6893,33.05,"818,000",
0,0,43,1933,"30,000","385,500",12.85,"243,300",8.11,"142,200",0.5845,32.87,"986,000",
0,0,26,1924,"18,000","234,540",13.03,"149,760",8.32,"84,780",0.5661,32.78,"590,000",
0,0,20,1913,"17,550","201,123",11.46,"115,655",6.59,"85,469",0.739,32.48,"570,000",
0,0,29,1924,"26,742","326,787",12.22,"200,298",7.49,"126,490",0.6315,32.23,"862,000",
0,0,13,1905,"14,516","177,531",12.23,"109,741",7.56,"67,790",0.6177,31.83,"462,000",
0,0,43,1923,"28,165","332,629",11.81,"200,535",7.12,"132,094",0.6587,31.6,"890,000",
0,0,46,1928,"46,210","585,943",12.68,"375,225",8.12,"210,718",0.5616,31.47,"1,454,000",
0,0,15,1910,"14,575","176,503",12.11,"109,604",7.52,"66,899",0.6104,31.22,"455,000",
0,0,11,1931,"10,675","133,224",12.48,"85,293",7.99,"47,931",0.562,30.82,"329,000",
0,0,40,1927,"36,560","367,794",10.06,"198,155",5.42,"169,638",0.8561,29.32,"1,072,000",
0,0,25,1914,"21,295","249,790",11.73,"159,925",7.51,"89,865",0.5619,28.36,"604,000",
0,0,11,1914,"17,100","195,966",11.46,"125,343",7.33,"70,623",0.5634,27.54,"471,000",
0,0,35,1912,"33,790","348,037",10.3,"204,430",6.05,"143,608",0.7025,27.17,"918,000",
0,0,20,1915,"21,750","243,165",11.18,"155,730",7.16,"87,435",0.5615,26.53,"577,000",
0,0,50,1926,"42,455","446,627",10.52,"274,684",6.47,"171,943",0.626,26.1,"1,108,000",
0,0,57,1926,"39,745","420,900",10.59,"269,471",6.78,"151,428",0.5619,24.61,"978,000",
0,0,32,1912,"26,650","273,429",10.26,"175,091",6.57,"98,339",0.5616,23.53,"627,000",
1,1,63,1959,"54,635","1,093,246",20.01,"435,987",7.98,"657,259",1.5075,92.83,"5,072,000",
1,1,252,1954,"247,247","4,855,931",19.64,"2,118,907",8.57,"2,737,024",1.2917,85.18,"21,061,000",
1,1,43,1963,"33,000","624,690",18.93,"265,980",8.06,"358,710",1.3486,83.03,"2,740,000",
0,1,68,1964,"57,414","1,061,585",18.49,"445,533",7.76,"616,052",1.3827,81.58,"4,684,000",
1,1,105,1952,"126,000","2,309,580",18.33,"956,340",7.59,"1,353,240",1.415,81.49,"10,268,000",
1,1,133,1961,"167,108","3,026,326",18.11,"1,385,325",8.29,"1,641,001",1.1846,74.37,"12,427,000",
1,1,58,1952,"70,000","1,230,600",17.58,"539,700",7.71,"690,900",1.2802,74.36,"5,205,000",
0,1,63,2009,"69,640","1,364,248",19.59,"690,132",9.91,"674,115",0.9768,74.35,"5,178,000",
0,1,45,1967,"39,959","746,834",18.69,"360,830",9.03,"386,004",1.0698,73.63,"2,942,000",
1,1,54,1962,"46,500","754,695",16.23,"294,345",6.33,"460,350",1.564,73.31,"3,409,000",
1,1,69,1953,"61,538","1,060,300",17.23,"462,766",7.52,"597,534",1.2912,72.87,"4,484,000",
0,1,28,1912,"26,739","477,024",17.84,"220,062",8.23,"256,962",1.1677,72.63,"1,942,000",
0,1,71,1939,"57,994","1,031,133",17.78,"474,971",8.19,"556,162",1.1709,72.4,"4,199,000",
0,1,65,1965,"55,800","1,100,934",19.73,"576,414",10.33,"524,520",0.91,72.4,"4,040,000",
0,1,129,1928,"127,566","2,409,722",18.89,"1,204,223",9.44,"1,205,499",1.0011,72.14,"9,203,000",
1,1,441,1970,"718,399","12,298,991",17.12,"5,474,200",7.62,"6,824,791",1.2467,71.17,"51,130,000",
0,1,54,1929,"50,000","967,000",19.34,"503,000",10.06,"464,000",0.9225,71.12,"3,556,000",
1,1,45,1962,"43,000","686,280",15.96,"274,770",6.39,"411,510",1.4977,70.56,"3,034,000",
0,1,101,1965,"116,222","1,947,881",16.76,"860,043",7.4,"1,087,838",1.2649,69.8,"8,112,000",
0,1,78,1955,"77,760","1,243,382",15.99,"510,883",6.57,"732,499",1.4338,69.46,"5,401,000",
1,1,73,1958,"111,000","1,692,750",15.25,"646,020",5.82,"1,046,730",1.6203,68.7,"7,626,000",
0,1,52,1964,"44,329","846,241",19.09,"448,609",10.12,"397,631",0.8864,68.65,"3,043,000",
0,1,44,1926,"40,428","832,008",20.58,"474,220",11.73,"357,788",0.7545,68.57,"2,772,000",
1,1,130,1969,"142,000","2,435,300",17.15,"1,143,100",8.05,"1,292,200",1.1304,68.15,"9,677,000",
1,1,69,1958,"85,117","1,435,073",16.86,"664,764",7.81,"770,309",1.1588,67.54,"5,749,000",
1,1,49,1954,"82,500","1,338,150",16.22,"589,050",7.14,"749,100",1.2717,67.24,"5,547,000",
1,1,52,1953,"82,559","1,405,154",17.02,"667,077",8.08,"738,077",1.1064,66.81,"5,516,000",
1,1,44,1939,"41,068","668,587",16.28,"305,546",7.44,"363,041",1.1882,65.45,"2,688,000",
1,1,52,1954,"64,520","1,106,518",17.15,"542,613",8.41,"563,905",1.0392,65.44,"4,222,000",
1,1,183,1961,"213,921","3,660,188",17.11,"1,796,936",8.4,"1,863,252",1.0369,65.26,"13,961,000",
1,1,196,1963,"255,000","5,079,600",19.92,"2,991,150",11.73,"2,088,450",0.6982,63.15,"16,102,000",
1,1,79,1954,"104,000","1,802,320",17.33,"933,920",8.98,"868,400",0.9298,62.72,"6,523,000",
0,1,28,1912,"32,932","588,824",17.88,"316,147",9.6,"272,677",0.8625,62.61,"2,062,000",
0,1,201,1957,"249,258","4,145,161",16.63,"2,063,856",8.28,"2,081,304",1.0085,62.15,"15,491,000",
1,1,159,1953,"217,360","3,564,704",16.4,"1,749,748",8.05,"1,814,956",1.0373,61.96,"13,468,000",
1,1,72,1958,"92,640","1,451,669",15.67,"675,346",7.29,"776,323",1.1495,61.5,"5,697,000",
1,1,462,1949,"395,000","5,770,950",14.61,"2,421,350",6.13,"3,349,600",1.3834,61.08,"24,125,000",
0,1,42,1915,"42,000","700,560",16.68,"357,840",8.52,"342,720",0.9577,60.76,"2,552,000",
1,1,437,1961,"404,890","5,923,541",14.63,"2,518,416",6.22,"3,405,125",1.3521,60.62,"24,546,000",
1,1,67,1970,"83,880","1,346,274",16.05,"660,974",7.88,"685,300",1.0368,60.34,"5,061,000",
1,1,56,1954,"59,352","1,001,268",16.87,"524,078",8.83,"477,190",0.9105,60.12,"3,568,000",
0,1,63,1960,"59,000","859,040",14.56,"371,700",6.3,"487,340",1.3111,59.49,"3,510,000",
0,1,191,1952,"220,000","3,592,600",16.33,"1,832,600",8.33,"1,760,000",0.9604,59.33,"13,053,000",
0,1,130,1963,"136,913","2,133,105",15.58,"1,025,478",7.49,"1,107,626",1.0801,59.23,"8,109,000",
1,1,60,1969,"60,829","908,177",14.93,"413,637",6.8,"494,540",1.1956,58.87,"3,581,000",
1,1,57,1956,"68,728","1,072,157",15.6,"527,144",7.67,"545,013",1.0339,58.16,"3,997,000",
1,1,38,1954,"47,000","749,180",15.94,"381,640",8.12,"367,540",0.9631,57.62,"2,708,000",
0,1,172,1963,"183,600","2,788,884",15.19,"1,343,952",7.32,"1,444,932",1.0751,57.28,"10,516,000",
0,1,117,1966,"122,000","1,810,480",14.84,"847,900",6.95,"962,580",1.1353,57.16,"6,973,000",
0,1,30,1931,"25,176","385,948",15.33,"189,324",7.52,"196,625",1.0386,57,"1,435,000",
1,1,145,1953,"201,511","3,383,370",16.79,"1,845,841",9.16,"1,537,529",0.833,56.94,"11,475,000",
0,1,269,1962,"289,000","4,719,370",16.33,"2,499,850",8.65,"2,219,520",0.8879,56.88,"16,438,000",
1,1,54,1950,"51,000","818,550",16.05,"426,360",8.36,"392,190",0.9199,56.75,"2,894,000",
0,1,190,1930,"174,400","3,055,488",17.52,"1,742,256",9.99,"1,313,232",0.7538,56.68,"9,885,000",
1,1,108,1949,"108,700","1,706,590",15.7,"870,687",8.01,"835,903",0.96,56.45,"6,136,000",
1,1,77,1960,"80,120","1,281,119",15.99,"668,201",8.34,"612,918",0.9173,56.44,"4,522,000",
1,1,64,1962,"80,000","1,224,800",15.31,"610,400",7.63,"614,400",1.0066,56.05,"4,484,000",
0,1,208,1965,"256,000","3,904,000",15.25,"1,937,920",7.57,"1,966,080",1.0145,55.97,"14,329,000",
0,1,188,1963,"247,530","4,319,399",17.45,"2,482,726",10.03,"1,836,673",0.7398,55.78,"13,807,000",
0,1,36,1940,"37,350","576,684",15.44,"293,198",7.85,"283,487",0.9669,55.48,"2,072,000",
1,1,127,1951,"186,480","3,069,461",16.46,"1,678,320",9,"1,391,141",0.8289,55.37,"10,325,000",
