Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-03044-0027,1993 BATHGATE AVENUE,BATHGATE,C6  -WALK-UP,       16,1908,15175,237641,     15.66,118820,7.83,118820,878000,     57.86
2-03045-0019,2068 BATHGATE AVENUE,BATHGATE,C6  -WALK-UP,       43,1911,36564,412808,     11.29,182820,5,229988,1532000,     41.90
2-03030-0143,2250 WEBSTER AVENUE,BATHGATE,C6  -WALK-UP,       20,1913,16120,299832,     18.60,179899,11.16,119933,920000,     57.07
2-03038-0046,4554 PARK AVENUE,BATHGATE,C6  -WALK-UP,       35,1915,33663,470609,     13.98,225879,6.71,244730,1726000,     51.27
2-03035-0048,463 EAST 178 STREET,BATHGATE,D4  -ELEVATOR,       38,1935,32200,510048,     15.84,310730,9.65,199318,1477000,     45.87
2-03047-0014,490 EAST 181 STREET,BATHGATE,C6  -WALK-UP,       24,1927,26000,295360,     11.36,132860,5.11,162500,1085000,     41.73
2-03044-0040,495 EAST 178 STREET,BATHGATE,D4  -ELEVATOR,       56,1941,55137,835877,     15.16,505606,9.17,330271,2420000,     43.89
2-05259-0016,3410 DE REIMER AVENUE,BAYCHESTER,D4  -ELEVATOR,      208,1965,256000,4759040,     18.59,2616320,10.22,2142720,16413000,     64.11
2-03311-0138,190 EAST MOSHOLU PARKWAY S,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       58,1939,63763,936678,     14.69,477585,7.49,459094,3335000,     52.30
2-03282-0007,2640 MARION AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       73,1961,91075,1395269,     15.32,761387,8.36,633882,4655000,     51.11
2-03287-0100,2661 MARION AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       73,1966,81730,1160566,     14.20,580283,7.1,580283,4176000,     51.10
2-03282-0046,2665 DECATUR AVENUE,BEDFORD PARK/NORWOOD,C6  -WALK-UP,       26,1916,24000,326160,     13.59,171120,7.13,155040,1101000,     45.88
2-03300-0015,2674 VALENTINE AVENUE,BEDFORD PARK/NORWOOD,C6  -WALK-UP,       11,1913,14088,359385,     25.51,125806,8.93,233579,1872000,    132.88
2-03277-0023,2676 DECATUR AVENUE,BEDFORD PARK/NORWOOD,C6  -WALK-UP,       16,1908,18000,288180,     16.01,163440,9.08,124740,926000,     51.44
2-03316-0050,2685 CRESTON AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       73,1940,77850,1076666,     13.83,592439,7.61,484227,3459000,     44.43
2-03283-0013,2716 MARION AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       74,1950,88400,1312740,     14.85,839800,9.5,472940,3443000,     38.95
2-03295-0033,2830 BRIGGS AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       58,1955,51060,850149,     16.65,509068,9.97,341081,2558000,     50.10
2-03284-0048,2866 MARION AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       67,1956,71652,952972,     13.30,476486,6.65,476486,3361000,     46.91
2-03280-0013,2962 DECATUR AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       55,1940,43195,957633,     22.17,612937,14.19,344696,2720000,     62.97
2-03285-0052,2965 DECATUR AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       37,1936,39550,582176,     14.72,361883,9.15,220294,1601000,     40.48
2-03307-0001,3000 VALENTINE AVENUE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       57,1937,55800,940788,     16.86,584226,10.47,356562,2682000,     48.06
2-03299-0014,306 MOSHOLU PARKWAY,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       60,1939,65070,961735,     14.78,480867,7.39,480867,3498000,     53.76
